Course,X_map,Y_map,Elevation_max,X_norm,Y_norm,Latitude,Longitude,Strava
Col du Sanetsch,2588260,1131129,2252,-0.01174,-0.068871,46.3314,7.2862,https://www.strava.com/activities/7752632889
Barrage du Rawly,2599753,1132782,1779,-0.000247,-0.067218,46.3464,7.4354,https://www.strava.com/activities/7466080654
Barrage du Godet,2584238,1126300,1365,-0.015762,-0.0737,46.2879,7.2341,https://www.strava.com/activities/7106886853
Barrage de la Grande Dixence,2597300,1103658,2138,-0.0027,-0.096342,46.0844,7.4037,https://www.strava.com/activities/5866699284
Col des Planches,2575712,1105063,1408,-0.024288,-0.094937,46.0966,7.1246,https://www.strava.com/activities/6154862286
Col du Lein,2578380,1106519,1658,-0.02162,-0.093481,46.1098,7.1591,https://www.strava.com/activities/4014987383
Barrage d’Emosson,2561081,1101903,1932,-0.038919,-0.098097,46.0675,6.9357,https://www.strava.com/activities/7488791360
Col de la Forclaz,2566164,1100790,1527,-0.033836,-0.09921,46.0578,7.0015,https://www.strava.com/activities/7488791360
Grosse Scheidegg,2650767,1167408,1962,0.050767,-0.032592,46.6560,8.1018,https://www.strava.com/activities/5501177600
Barrage de Mauvoisin et Chanrion,2592800,1094011,2461,-0.0072,-0.105989,45.9976,7.3457,https://www.strava.com/activities/5537538309
Moosalp,2630132,1122290,2044,0.030132,-0.07771,46.2514,7.8293,https://www.strava.com/activities/5424476179
Col de la Croix,2575984,1130434,1776,-0.024016,-0.069566,46.3249,7.1268,https://www.strava.com/activities/7180713114
Col du Mollendruz,2517870,1167083,1180,-0.08213,-0.032917,46.6499,6.3657,https://www.strava.com/activities/7687831194
Col du Marchairuz,2508878,1156404,1447,-0.091122,-0.043596,46.5527,6.2503,https://www.strava.com/activities/3673599383
Pas de Lona,2606283,1111588,2788,0.006283,-0.088412,46.1557,7.5199,https://www.strava.com/activities/7668856681
Le Gibloux,2569547,1170396,1206,-0.030453,-0.029604,46.6841,7.0406,https://www.strava.com/activities/7408143082
La Berra,2580516,1169448,1719,-0.019484,-0.030552,46.6760,7.1840,https://www.strava.com/activities/7408143082
